Plot_ID,Date,stage,B2,B3,B4,RE1,RE2,RE3,NIR,RE4,SWIR1,SWIR2,VV,VH
52,25-03-2018,ERS,0.1348486,0.1148416,0.0882105,0.10177,0.2258547,0.3504375,0.3377,0.386261,0.1537543,0.0664734,-14.139,-20.165
11,03-02-2019,EVS,0.1192176,0.1066159,0.0765732,0.1061272,0.1744702,0.1985369,0.1759612,0.1985609,0.0916842,0.0463496,-11.024,-21.333
44,05-03-2019,LVS,0.098478,0.0852074,0.0541882,0.0784953,0.2614722,0.4162545,0.3973546,0.448451,0.1660098,0.070137,-17.491,-20.6
24,05-03-2018,LVS,0.1128653,0.0962682,0.0677725,0.0867428,0.2461687,0.4002296,0.3910268,0.4310506,0.1716313,0.0737152,-15.166,-20.212
64,09-04-2018,LRS,0.115108,0.1092625,0.0809059,0.1168087,0.2421966,0.3078419,0.2930567,0.3367866,0.1536166,0.072489,-10.921,-14.802
63,13-02-2019,MVS,0.0994729,0.0904131,0.0528461,0.0949,0.268956,0.3437751,0.3242223,0.3540079,0.1589617,0.0733943,-10.256,-20.303
89,03-02-2019,EVS,0.1173669,0.1097032,0.0731424,0.1207893,0.2578962,0.2997575,0.2846271,0.3175009,0.1680614,0.0771679,-10.567,-18.185
6,14-04-2019,LRS,0.1157351,0.1090391,0.0851565,0.1220209,0.2513989,0.3243525,0.3178392,0.3598628,0.1956678,0.1008993,-11.82,-20.753
4,13-02-2019,MVS,0.1031231,0.0982315,0.0590136,0.1086006,0.3077197,0.404527,0.3907469,0.4247132,0.1744049,0.0805168,-10.041,-19.592
27,03-02-2019,EVS,0.1144277,0.1000701,0.0663305,0.0983649,0.1835642,0.2110578,0.1938784,0.2160787,0.0993961,0.0480678,-8.822,-21.508
32,05-03-2019,LVS,0.0990069,0.0847903,0.0557103,0.0776222,0.2625462,0.4273773,0.406134,0.4602261,0.1711177,0.0736139,-14.254,-23.922
66,04-05-2019,MS,0.1479801,0.1535697,0.1795811,0.2119617,0.265302,0.3029322,0.2966569,0.3405563,0.3458498,0.2231559,-10.823,-18.82
20,24-04-2018,MS,0.1158404,0.109093,0.0918952,0.1197463,0.2193336,0.2790361,0.270449,0.3115304,0.1905077,0.100742,-6.314,-12.777
59,04-05-2019,MS,0.1616785,0.1756079,0.2206987,0.2541176,0.3150221,0.3633466,0.3691038,0.4112441,0.4334,0.2818952,-12.771,-16.394
56,05-03-2018,LVS,0.1126712,0.0981764,0.068054,0.0927987,0.2626496,0.400387,0.395531,0.4361455,0.1818601,0.0790319,-14.56,-19.864
94,05-03-2019,LVS,0.0982646,0.0861505,0.055135,0.0816575,0.2721332,0.4114743,0.3915056,0.4430584,0.1711977,0.0741,-16.379,-18.807
46,24-04-2018,MS,0.114693,0.1071687,0.089268,0.1150123,0.2165997,0.2790453,0.2738904,0.3128995,0.1899081,0.1037589,-6.997,-14.302
30,20-03-2019,ERS,0.1094002,0.0929954,0.063134,0.0812415,0.2357301,0.3948956,0.3711251,0.4328899,0.1563848,0.0637873,-20.075,-25.467
82,24-04-2019,MS,0.1129585,0.1100107,0.0914308,0.1321343,0.2475483,0.3057664,0.3012456,0.3453184,0.2027732,0.1049333,-13.996,-17.476
28,23-02-2018,MVS,0.1139524,0.099341,0.0669504,0.0908382,0.2650474,0.4063214,0.3902179,0.4374286,0.1775455,0.0760687,-13.899,-19.401
64,14-04-2019,LRS,0.1160236,0.1109068,0.0848748,0.1236313,0.2557118,0.324039,0.3129657,0.3588678,0.1772302,0.0876815,-12.728,-16.765
54,29-01-2018,EVS,0.130416,0.1174682,0.0963398,0.1213841,0.1631656,0.1769719,0.1594681,0.1769522,0.0632496,0.0334533,-11.986,-20.402
87,23-02-2019,MVS,0.1050645,0.0898571,0.058536,0.0842073,0.2504,0.3668357,0.3521079,0.3884594,0.1658029,0.0761673,-13.043,-17.056
64,24-04-2019,MS,0.1160108,0.1163983,0.100359,0.1449972,0.2463151,0.2921708,0.28514,0.3247369,0.2080704,0.1135003,-14.653,-17.614
12,08-02-2018,EVS,0.0926414,0.0833163,0.0573733,0.0989846,0.1730403,0.1967018,0.1750201,0.1946877,0.0769524,0.037181,-12.924,-23.054
39,05-03-2019,LVS,0.0996305,0.0861735,0.0565212,0.0810219,0.2609541,0.4004883,0.3768842,0.4289964,0.1667433,0.0725193,-16.08,-22.008
38,23-02-2019,MVS,0.1048348,0.0908086,0.0586954,0.0853049,0.2622168,0.3916826,0.3820059,0.420521,0.1779471,0.0794366,-12.511,-19.103
60,13-02-2019,MVS,0.0996343,0.0933978,0.0531684,0.0967581,0.2691585,0.3392889,0.3269224,0.351047,0.164153,0.0779319,-11.94,-18.862
47,20-03-2019,ERS,0.1104907,0.0957873,0.0667317,0.0881332,0.2407586,0.3867184,0.3684215,0.4228017,0.1662294,0.0734255,-16.141,-20.188
98,29-01-2018,EVS,0.1343566,0.1234955,0.1081902,0.1304763,0.1535126,0.1674174,0.1552369,0.1655418,0.0612203,0.033871,-11.661,-28.64
8,03-02-2019,EVS,0.1129553,0.0988647,0.065755,0.1004718,0.2051445,0.240995,0.2196022,0.2420858,0.109982,0.0534404,-10.847,-20.307
15,14-04-2019,LRS,0.1149897,0.1088228,0.0808696,0.1182734,0.2678333,0.3574537,0.3482366,0.3967707,0.1848637,0.091615,-13.776,-19.911
7,23-02-2019,MVS,0.1042889,0.0881589,0.0581827,0.0843898,0.251416,0.3786159,0.3621153,0.4039222,0.1541113,0.065134,-12.907,-20.096
55,14-04-2019,LRS,0.1161181,0.1101455,0.0864721,0.1208976,0.2497675,0.3175409,0.2938539,0.3511231,0.191215,0.0943038,-14.561,-18.357
83,05-03-2019,LVS,0.0998346,0.0853957,0.0574134,0.0804333,0.2345542,0.3557535,0.3359888,0.3789193,0.1412959,0.0636027,-14.235,-23.152
13,23-02-2019,MVS,0.1095752,0.0990729,0.065769,0.0981505,0.2814318,0.3823587,0.3674651,0.4106612,0.1602914,0.0709385,-10.126,-15.962
56,04-05-2019,MS,0.1561731,0.1661378,0.2085098,0.2403393,0.2940204,0.3362198,0.3356027,0.3848524,0.4181262,0.2749006,-11.738,-20.247
44,24-04-2018,MS,0.1150329,0.106908,0.0904701,0.1179104,0.2124604,0.2720243,0.2650755,0.3084671,0.1911389,0.100505,-12.544,-15.689
16,25-03-2018,ERS,0.1374891,0.1178669,0.0930723,0.106026,0.221604,0.3320709,0.3177818,0.3628931,0.1539371,0.0687096,-15.538,-19.328
41,30-03-2019,ERS,0.1199518,0.1071111,0.0773134,0.1044653,0.2329347,0.3340551,0.3174391,0.3697041,0.1396939,0.0613347,-8.442,-12.868
40,14-04-2019,LRS,0.1142351,0.1073817,0.0821057,0.1171959,0.2470716,0.3222839,0.3084211,0.3581368,0.1838553,0.0900447,-11.467,-14.198
29,20-03-2019,ERS,0.114005,0.1043593,0.0735051,0.1032198,0.255516,0.3725209,0.3510185,0.4085051,0.1658509,0.0755772,-11.898,-15.803
87,14-04-2019,LRS,0.1158948,0.1093105,0.0816289,0.1204827,0.2726135,0.3598325,0.3481059,0.4004468,0.2024085,0.1001047,-15.209,-19.462
95,09-04-2018,LRS,0.1099794,0.1004853,0.0696913,0.1020338,0.2627621,0.376732,0.3603377,0.4165758,0.1565059,0.0663973,-12.573,-16.518
100,05-03-2019,LVS,0.1004921,0.0875679,0.059264,0.085069,0.2603557,0.3927031,0.379872,0.4246644,0.1654693,0.0740391,-13.921,-20.799
53,24-04-2019,MS,0.1130799,0.111644,0.0941614,0.1343414,0.2485434,0.300431,0.2968733,0.3373438,0.2236686,0.1206955,-11.297,-17.664
75,29-01-2018,EVS,0.1256019,0.1135808,0.1025054,0.1254328,0.1689891,0.1869858,0.1680863,0.1948759,0.1284655,0.0792954,-10.682,-15.635
82,30-03-2019,ERS,0.1216514,0.1116491,0.0808735,0.1095256,0.2438985,0.3474218,0.3378116,0.3845874,0.1470239,0.0655869,-9.576,-15.876
29,05-03-2019,LVS,0.1002792,0.0858238,0.0590878,0.082453,0.252324,0.3921435,0.3778944,0.4225278,0.158778,0.0729251,-13.002,-20.355
97,24-01-2019,EVS,0.1803633,0.1652283,0.1508896,0.1710982,0.2061683,0.2268905,0.2005621,0.2333344,0.1327508,0.0838136,-13.197,-21.018
90,24-04-2019,MS,0.1168327,0.114745,0.1045503,0.1457652,0.2284364,0.273286,0.265233,0.3087889,0.2318535,0.1311416,-11.672,-15.371
49,14-04-2019,LRS,0.1150603,0.1106097,0.0836207,0.1232111,0.2640332,0.3414327,0.3257956,0.3778751,0.1844071,0.0905395,-11.904,-20.694
96,04-05-2019,MS,0.1552425,0.1633751,0.2018946,0.2337881,0.2846802,0.3259823,0.3204772,0.3661935,0.3849305,0.2559718,-11.951,-18.112
51,20-03-2019,ERS,0.10878,0.0942533,0.0644751,0.0834427,0.2313479,0.3689124,0.3465317,0.4019593,0.1462922,0.0622591,-18.114,-23.85
21,24-04-2018,MS,0.117056,0.1102979,0.0973962,0.1236361,0.2108383,0.2631445,0.2527292,0.2935863,0.1996565,0.1104699,-7.665,-11.181
94,09-04-2018,LRS,0.1101402,0.1003282,0.070074,0.1005754,0.2511356,0.3614,0.3418646,0.4012119,0.1528777,0.0663805,-11.72,-17.514
93,25-03-2018,LVS,0.133914,0.11423,0.0882206,0.0995231,0.2232,0.3563692,0.3420118,0.3943769,0.1562692,0.0669538,-16.681,-22.093
93,30-03-2019,ERS,0.1192011,0.1059394,0.0759341,0.1005687,0.2373547,0.3640308,0.3595522,0.4059383,0.1461486,0.0629397,-11.463,-16.307
46,08-02-2018,EVS,0.0983437,0.1040893,0.0589912,0.1172312,0.3170632,0.3841914,0.3659796,0.4048849,0.1633433,0.0762058,-9.365,-19.806
35,09-04-2018,LRS,0.1111099,0.1011233,0.0705668,0.100499,0.2613,0.3813387,0.3643448,0.4221145,0.1654008,0.0714548,-11.653,-17.803
16,14-01-2018,EVS,0.1363756,0.1179905,0.1017074,0.1154777,0.1326186,0.1480102,0.1350121,0.1515531,0.0850235,0.04848,-11.036,-16.599
89,08-02-2018,EVS,0.1001748,0.0954275,0.0686367,0.1135064,0.2580679,0.3117881,0.3003238,0.3389333,0.1658286,0.0787746,-10.197,-19.849
43,23-02-2018,MVS,0.1157561,0.1028641,0.0705378,0.0990995,0.2535735,0.3487957,0.337749,0.3688741,0.1748498,0.0814774,-10.185,-14.858
58,24-04-2018,MS,0.1148062,0.1073516,0.0855623,0.1145785,0.2286068,0.3022482,0.2947401,0.3366135,0.1895053,0.0985394,-9.233,-13.875
71,14-04-2019,LRS,0.1177189,0.1127814,0.0909252,0.127806,0.2519123,0.3151821,0.2991412,0.3512826,0.2061625,0.1061551,-11.39,-18.053
13,14-04-2019,LRS,0.1161295,0.1116313,0.083976,0.1229007,0.2698207,0.3387622,0.3240026,0.3719849,0.1906352,0.0917307,-9.95,-17.503
87,13-02-2019,MVS,0.0991859,0.0896083,0.0536236,0.09275,0.2724602,0.3554754,0.3362552,0.3677553,0.1768488,0.0834845,-11.173,-21.307
